Unnamed: 0,주소,도로명,Unnamed: 3,건축년도,건축구조,전용면적,건축면적,면적,대지면적(제곱미터)
278,부산광역시 해운대구 석대동 492-1,반송로 565-18,단독주택,1985,시멘트블럭조,,0.0,52.8,195.0
279,부산광역시 해운대구 반송동 250-2299,아랫반송로90번길 11-19,단독주택,1993,기타조적구조,,29.04,87.12,36.5
280,부산광역시 해운대구 반송동 250-2331,아랫반송로90번길 19-6,단독주택,1984,블록구조,,25.74,25.74,25.0
281,부산광역시 해운대구 반송동 250-2281,아랫반송로90번길 5-13,단독주택,1977,블록구조,,33.84,33.84,43.0
282,부산광역시 해운대구 반송동 250-2015,아랫반송로80번길 31-20,단독주택,1978,블록구조,,35.86,35.86,46.0
283,부산광역시 해운대구 반송동 250-2572,아랫반송로70번길 63-18,단독주택,1977,블록구조,,20.0,20.0,27.0
284,부산광역시 해운대구 석대동 243-2,반송로607번길 3-10,단독주택,1974,시멘트블럭조,,0.0,84.31,486.0
285,부산광역시 해운대구 반송동 250-2579,아랫반송로70번길 63-17,단독주택,1977,블록구조,,31.24,31.24,48.0
286,부산광역시 해운대구 반송동 250-2116,아랫반송로80번길 11-21,단독주택,1979,블록구조,,30.0,30.0,46.0
287,부산광역시 해운대구 반송동 250-2162,아랫반송로90번길 4,단독주택,1980,블록구조,,30.0,30.0,46.0
288,부산광역시 해운대구 반송동 250-2576,아랫반송로70번길 63-9,단독주택,1977,블록구조,,39.44,39.44,48.0
289,부산광역시 해운대구 반송동 250-2158,아랫반송로80번길 5-21,단독주택,1974,블록구조,,19.2,19.2,46.0
290,부산광역시 해운대구 반송동 250-2156,아랫반송로 86-1,단독주택,1985,블록구조,,40.0,40.0,46.0
291,부산광역시 해운대구 반송동 250-1884,아랫반송로70번길 37-21,다세대,1995,기타조적구조,36.85,83.16,332.64,93.0
292,부산광역시 해운대구 반송동 250-1884,아랫반송로70번길 37-21,다세대,1995,기타조적구조,36.85,83.16,332.64,93.0
293,부산광역시 해운대구 반송동 250-2153,아랫반송로80번길 5-15,단독주택,1980,블록구조,,42.32,42.32,46.0
294,부산광역시 해운대구 반송동 250-2150,아랫반송로80번길 5-13,단독주택,1974,블록구조,,25.76,25.76,46.0
295,부산광역시 해운대구 반송동 250-2559,아랫반송로70번길 57-4,단독주택,1980,블록구조,,36.7,36.7,53.0
296,부산광역시 해운대구 반송동 250-1954,아랫반송로70번길 49-11,단독주택,1992,벽돌구조,,23.76,65.88,27.0
297,부산광역시 해운대구 반송동 250-2146,아랫반송로80번길 5-9,단독주택,1985,블록구조,,20.36,20.36,46.0
298,부산광역시 해운대구 반송동 250-2133,아랫반송로80번길 5-6,다가구주택,1998,기타조적구조,,41.275,100.31,46.0
299,부산광역시 해운대구 반송동 250-1894,아랫반송로70번길 31-14,단독주택,1982,블록구조,,34.94,67.59,46.0
300,부산광역시 해운대구 반송동 250-2414,아랫반송로79번길 10-14,다세대,1996,철근콘크리트구조,37.585,85.73,342.92,97.0
301,부산광역시 해운대구 반송동 250-1897,아랫반송로70번길 31-12,단독주택,1970,블록구조,,32.64,32.64,46.0
302,부산광역시 해운대구 반송동 250-2403,아랫반송로70번길 19-23,단독주택,1994,철근콘크리트구조,,132.0,451.84,150.0
303,부산광역시 해운대구 반송동 250-1221,아랫반송로70번길 46,단독주택,1974,블록구조,,18.56,18.56,18.0
304,부산광역시 해운대구 반송동 250-1220,아랫반송로60번길 43-28,단독주택,1977,블록구조,,23.3,23.3,29.0
305,부산광역시 해운대구 반송동 250-1858,아랫반송로70번길 31-3,단독주택,1985,블록구조,,76.9,76.9,46.0
306,부산광역시 해운대구 반송동 250-1803,아랫반송로70번길 11-15,다가구주택,1980,블록구조,,34.45,34.45,50.0
307,부산광역시 해운대구 반송동 250-2395,아랫반송로70번길 11-16,단독주택,1981,블록구조,,29.26,51.94,36.0
308,부산광역시 해운대구 반송동 250-2676,아랫반송로70번길 19-8,다가구주택,1992,벽돌구조,,26.68,53.36,30.0
309,부산광역시 해운대구 반송동 744-160,아랫반송로50번길 91-24,단독주택,1977,블록구조,,55.5,55.5,67.0
310,부산광역시 해운대구 반송동 250-1740,아랫반송로79번길 7,단독주택,1977,블록구조,,42.21,67.49,46.0
311,부산광역시 해운대구 반송동 250-1208,아랫반송로60번길 43-16,단독주택,1976,블록구조,,31.4,31.4,50.0
312,부산광역시 해운대구 반송동 250-1191,아랫반송로60번길 49-10,단독주택,1973,블록구조,,28.8,28.8,36.0
313,부산광역시 해운대구 반송동 250-1283,아랫반송로70번길 28,다세대,1996,철근콘크리트구조,39.94,89.78,359.12,100.0
314,부산광역시 해운대구 반송동 250-1205,아랫반송로60번길 49-11,다세대,1992,벽돌구조,35.32,43.56,174.24,50.0
315,부산광역시 해운대구 반송동 250-1192,아랫반송로60번길 49-8,단독주택,1973,블록구조,,32.31,32.31,50.0
316,부산광역시 해운대구 반송동 250-1243,아랫반송로60번길 37-12,단독주택,1985,블록구조,,40.97,40.97,66.0
317,부산광역시 해운대구 반송동 250-1269,아랫반송로60번길 31-16,다가구주택,2001,기타조적구조,,44.22,120.36,50.0
318,부산광역시 해운대구 반송동 250-1816,아랫반송로70번길 5-4,단독주택,1983,블록구조,,33.51,62.4,50.0
319,부산광역시 해운대구 반송동 250-1152,아랫반송로50번길 75-3,단독주택,1985,블록구조,,54.0,54.0,304.0
320,부산광역시 해운대구 반송동 744-126,아랫반송로30번길 146-6,단독주택,2001,철근콘크리트구조,,37.26,74.52,42.0
321,부산광역시 해운대구 반송동 250-2373,아랫반송로60번길 19-13,다가구주택,1991,벽돌구조,,35.84,107.52,43.0
322,부산광역시 해운대구 반송동 744-118,아랫반송로30번길 146-10,다가구주택,1991,벽돌구조,,24.19,72.57,28.0
323,부산광역시 해운대구 반송동 250-1040,아랫반송로50번길 37-24,단독주택,1970,블록구조,,22.31,22.31,50.0
324,부산광역시 해운대구 반송동 250-1038,아랫반송로50번길 43-25,단독주택,1976,블록구조,,33.42,33.42,50.0
325,부산광역시 해운대구 반송동 250-1307,아랫반송로60번길 27,단독주택,1985,블록구조,,45.44,45.44,50.0
326,부산광역시 해운대구 반송동 250-1483,아랫반송로59번길 18-26,단독주택,1978,블록구조,,37.2,37.2,46.0
327,부산광역시 해운대구 반송동 744-234,아랫반송로30번길 127-6,다세대,1995,기타조적구조,31.95,71.82,287.28,81.0
328,부산광역시 해운대구 반송동 744-237,아랫반송로30번길 131-7,단독주택,1985,블록구조,,28.49,28.49,78.0
329,부산광역시 해운대구 반송동 250-1650,아랫반송로69번길 30-5,단독주택,1979,시멘트블럭조,,0.0,36.0,46.0
330,부산광역시 해운대구 반송동 250-1489,아랫반송로59번길 24-26,단독주택,1977,블록구조,,34.61,34.61,46.0
331,부산광역시 해운대구 반송동 250-954,아랫반송로50번길 25-17,단독주택,1979,블록구조,,29.2,29.2,40.0
332,부산광역시 해운대구 반송동 250-1534,아랫반송로59번길 24-25,단독주택,1980,블록구조,,29.74,29.74,46.0
333,부산광역시 해운대구 반송동 250-1013,아랫반송로50번길 37-5,단독주택,1971,블록구조,,42.98,42.98,50.0
334,부산광역시 해운대구 반송동 250-975,아랫반송로50번길 31-7,단독주택,1984,블록구조,,42.9,42.9,50.0
335,부산광역시 해운대구 반송동 250-1500,아랫반송로59번길 24-16,단독주택,1974,블록구조,,39.78,39.78,46.0
336,부산광역시 해운대구 반송동 250-1501,아랫반송로59번길 24-14,다가구주택,1977,기타조적구조,,41.28,116.88,46.0
