,번호,주택구분,시도코드,시도이름,시군구코드,시군구이름,행정동코드,행정동이름,법정동코드,법정동이름,기준일자
678,679,공동주택(다세대/연립),3000000000,대전광역시,3020000000,유성구,3020053000,온천1동,3020011100,봉명동,2021-10-01
679,680,단독주택(다가구),3000000000,대전광역시,3020000000,유성구,3020053000,온천1동,3020011100,봉명동,2021-10-01
680,681,단독주택(다가구),3000000000,대전광역시,3020000000,유성구,3020053000,온천1동,3020011100,봉명동,2021-10-01
681,682,단독주택(다가구),3000000000,대전광역시,3020000000,유성구,3020053000,온천1동,3020011100,봉명동,2021-10-01
682,683,단독주택(다가구),3000000000,대전광역시,3020000000,유성구,3020053000,온천1동,3020011100,봉명동,2021-10-01
683,684,단독주택(다가구),3000000000,대전광역시,3020000000,유성구,3020053000,온천1동,3020011100,봉명동,2021-10-01
684,685,그 외 주택,3000000000,대전광역시,3020000000,유성구,3020053000,온천1동,3020011200,구암동,2021-10-01
685,686,공동주택(다세대/연립),3000000000,대전광역시,3020000000,유성구,3020053000,온천1동,3020011200,구암동,2021-10-01
686,687,공동주택(다세대/연립),3000000000,대전광역시,3020000000,유성구,3020053000,온천1동,3020011200,구암동,2021-10-01
687,688,단독주택(다가구),3000000000,대전광역시,3020000000,유성구,3020053000,온천1동,3020011200,구암동,2021-10-01
688,689,단독주택(다가구),3000000000,대전광역시,3020000000,유성구,3020053000,온천1동,3020011200,구암동,2021-10-01
689,690,단독주택(다가구),3000000000,대전광역시,3020000000,유성구,3020053000,온천1동,3020011200,구암동,2021-10-01
690,691,단독주택(다가구),3000000000,대전광역시,3020000000,유성구,3020053000,온천1동,3020011200,구암동,2021-10-01
691,692,단독주택(다가구),3000000000,대전광역시,3020000000,유성구,3020053000,온천1동,3020011200,구암동,2021-10-01
692,693,단독주택(다가구),3000000000,대전광역시,3020000000,유성구,3020053000,온천1동,3020011200,구암동,2021-10-01
693,694,단독주택(다가구),3000000000,대전광역시,3020000000,유성구,3020053000,온천1동,3020011200,구암동,2021-10-01
694,695,단독주택(다가구),3000000000,대전광역시,3020000000,유성구,3020053000,온천1동,3020011200,구암동,2021-10-01
695,696,단독주택(다가구),3000000000,대전광역시,3020000000,유성구,3020053000,온천1동,3020011200,구암동,2021-10-01
696,697,단독주택(다가구),3000000000,대전광역시,3020000000,유성구,3020053000,온천1동,3020011200,구암동,2021-10-01
697,698,그 외 주택,3000000000,대전광역시,3020000000,유성구,3020053000,온천1동,3020011200,구암동,2021-10-01
698,699,공동주택(다세대/연립),3000000000,대전광역시,3020000000,유성구,3020053000,온천1동,3020011200,구암동,2021-10-01
699,700,공동주택(다세대/연립),3000000000,대전광역시,3020000000,유성구,3020053000,온천1동,3020011200,구암동,2021-10-01
700,701,공동주택(다세대/연립),3000000000,대전광역시,3020000000,유성구,3020053000,온천1동,3020011200,구암동,2021-10-01
701,702,공동주택(다세대/연립),3000000000,대전광역시,3020000000,유성구,3020053000,온천1동,3020011200,구암동,2021-10-01
702,703,공동주택(다세대/연립),3000000000,대전광역시,3020000000,유성구,3020053000,온천1동,3020011200,구암동,2021-10-01
703,704,아파트,3000000000,대전광역시,3020000000,유성구,3020053000,온천1동,3020011200,구암동,2021-10-01
704,705,단독주택(다가구),3000000000,대전광역시,3020000000,유성구,3020053000,온천1동,3020011200,구암동,2021-10-01
705,706,공동주택(다세대/연립),3000000000,대전광역시,3020000000,유성구,3020053000,온천1동,3020011200,구암동,2021-10-01
706,707,공동주택(다세대/연립),3000000000,대전광역시,3020000000,유성구,3020053000,온천1동,3020011200,구암동,2021-10-01
707,708,그 외 주택,3000000000,대전광역시,3020000000,유성구,3020053000,온천1동,3020011200,구암동,2021-10-01
708,709,그 외 주택,3000000000,대전광역시,3020000000,유성구,3020053000,온천1동,3020011200,구암동,2021-10-01
709,710,아파트,3000000000,대전광역시,3020000000,유성구,3020053000,온천1동,3020011200,구암동,2021-10-01
710,711,공동주택(다세대/연립),3000000000,대전광역시,3020000000,유성구,3020053000,온천1동,3020011200,구암동,2021-10-01
711,712,공동주택(다세대/연립),3000000000,대전광역시,3020000000,유성구,3020053000,온천1동,3020011200,구암동,2021-10-01
712,713,공동주택(다세대/연립),3000000000,대전광역시,3020000000,유성구,3020053000,온천1동,3020011200,구암동,2021-10-01
